ISO_Code,Countries,Economic Freedom Summary Index,Ranking Economic Freedom_x,iso3,Name,Overall Score,Ranking Economic Freedom_y
TGO,Togo,6.19,121.0,TGO,Togo,54.1,140.0
PNG,Papua New Guinea,6.17,122.0,PNG,Papua New Guinea,58.4,108.0
BOL,Bolivia,6.15,123.0,BOL,Bolivia,42.8,175.0
BFA,Burkina Faso,6.15,123.0,BFA,Burkina Faso,56.7,117.0
MRT,Mauritania,6.13,125.0,MRT,Mauritania,55.3,130.0
UKR,Ukraine,6.11,126.0,UKR,Ukraine,54.9,134.0
MDG,Madagascar,6.1,127.0,MDG,Madagascar,60.5,99.0
TUN,Tunisia,6.09,128.0,TUN,Tunisia,55.8,128.0
SEN,Senegal,6.05,129.0,SEN,Senegal,58.0,110.0
PAK,Pakistan,6.03,130.0,PAK,Pakistan ,54.8,135.0
CIV,Cote d'Ivoire,6.01,132.0,CIV,C̫te d'Ivoire ,59.7,101.0
MWI,Malawi,5.98,133.0,MWI,Malawi,52.8,152.0
SLE,Sierra Leone,5.98,133.0,SLE,Sierra Leone,48.0,168.0
NER,Niger,5.97,135.0,NER,Niger,54.7,136.0
TLS,Timor-Leste,5.94,136.0,TLS,Timor-Leste,45.9,171.0
MMR,Myanmar,5.93,137.0,MMR,Burma,54.0,141.0
AGO,Angola,5.91,138.0,AGO,Angola,52.2,154.0
BGD,Bangladesh,5.89,139.0,BGD,Bangladesh ,56.4,122.0
MLI,Mali,5.85,140.0,MLI,Mali,55.9,126.0
GIN,Guinea,5.84,141.0,GIN,Guinea,56.5,119.0
GUY,Guyana,5.82,142.0,GUY,Guyana,56.2,124.0
SUR,Suriname,5.81,143.0,SUR,Suriname,49.5,162.0
SWZ,Eswatini,5.76,144.0,SWZ,Eswatini,55.3,130.0
CMR,Cameroon,5.76,144.0,CMR,Cameroon,53.6,145.0
GAB,Gabon,5.72,146.0,GAB,Gabon,56.7,117.0
BDI,Burundi,5.67,147.0,BDI,Burundi,49.0,165.0
GNB,Guinea-Bissau,5.64,149.0,GNB,Guinea-Bissau,53.3,148.0
EGY,"Egypt, Arab Rep.",5.61,150.0,EGY,Egypt,54.0,141.0
