iso3,country,hdi_2020,Ranking HDI 2020,ISO_Code,Countries,Economic Freedom Summary Index,Ranking Economic Freedom
NAM,Namibia,0.633,134.0,NAM,Namibia,6.57,96.0
GHA,Ghana,0.632,135.0,GHA,Ghana,6.49,110.0
HND,Honduras,0.621,138.0,HND,Honduras,7.04,70.0
TLS,Timor-Leste,0.614,140.0,TLS,Timor-Leste,5.94,136.0
SWZ,Eswatini (Kingdom of),0.61,141.0,SWZ,Eswatini,5.76,144.0
LAO,Lao People's Democratic Republic,0.608,142.0,LAO,Lao PDR,6.5,109.0
NPL,Nepal,0.604,144.0,NPL,Nepal,6.54,103.0
ZWE,Zimbabwe,0.6,145.0,ZWE,Zimbabwe,4.48,163.0
MMR,Myanmar,0.6,145.0,MMR,Myanmar,5.93,137.0
KHM,Cambodia,0.596,148.0,KHM,Cambodia,7.13,63.0
AGO,Angola,0.59,149.0,AGO,Angola,5.91,138.0
KEN,Kenya,0.578,150.0,KEN,Kenya,6.96,78.0
CMR,Cameroon,0.578,150.0,CMR,Cameroon,5.76,144.0
SYR,Syrian Arab Republic,0.577,152.0,SYR,Syrian Arab Republic,4.63,162.0
COG,Congo,0.574,153.0,COG,"Congo, Rep.",5.08,158.0
ZMB,Zambia,0.57,154.0,ZMB,Zambia,6.56,98.0
COM,Comoros,0.562,156.0,COM,Comoros,6.31,115.0
PNG,Papua New Guinea,0.56,157.0,PNG,Papua New Guinea,6.17,122.0
MRT,Mauritania,0.556,158.0,MRT,Mauritania,6.13,125.0
CIV,Côte d'Ivoire,0.551,159.0,CIV,Cote d'Ivoire,6.01,132.0
TZA,Tanzania (United Republic of),0.548,160.0,TZA,Tanzania,6.55,99.0
PAK,Pakistan,0.543,161.0,PAK,Pakistan,6.03,130.0
HTI,Haiti,0.54,162.0,HTI,Haiti,6.57,96.0
NGA,Nigeria,0.535,163.0,NGA,Nigeria,6.7,92.0
TGO,Togo,0.535,163.0,TGO,Togo,6.19,121.0
RWA,Rwanda,0.532,165.0,RWA,Rwanda,6.9,81.0
BEN,Benin,0.524,166.0,BEN,Benin,6.51,106.0
UGA,Uganda,0.524,166.0,UGA,Uganda,7.18,60.0
LSO,Lesotho,0.521,168.0,LSO,Lesotho,6.52,105.0
MWI,Malawi,0.516,169.0,MWI,Malawi,5.98,133.0
SEN,Senegal,0.513,170.0,SEN,Senegal,6.05,129.0
DJI,Djibouti,0.51,171.0,DJI,Djibouti,6.21,119.0
SDN,Sudan,0.51,171.0,SDN,Sudan,4.21,164.0
MDG,Madagascar,0.501,173.0,MDG,Madagascar,6.1,127.0
GMB,Gambia,0.501,173.0,GMB,"Gambia, The",7.23,58.0
ETH,Ethiopia,0.498,175.0,ETH,Ethiopia,5.58,151.0
GNB,Guinea-Bissau,0.483,177.0,GNB,Guinea-Bissau,5.64,149.0
LBR,Liberia,0.48,179.0,LBR,Liberia,6.51,106.0
COD,Congo (Democratic Republic of the),0.479,180.0,COD,"Congo, Dem. Rep.",5.36,156.0
SLE,Sierra Leone,0.475,181.0,SLE,Sierra Leone,5.98,133.0
GIN,Guinea,0.466,182.0,GIN,Guinea,5.84,141.0
YEM,Yemen,0.46,183.0,YEM,"Yemen, Rep.",5.67,147.0
MOZ,Mozambique,0.453,184.0,MOZ,Mozambique,6.27,116.0
BFA,Burkina Faso,0.449,185.0,BFA,Burkina Faso,6.15,123.0
MLI,Mali,0.427,186.0,MLI,Mali,5.85,140.0
BDI,Burundi,0.426,187.0,BDI,Burundi,5.67,147.0
CAF,Central African Republic,0.407,188.0,CAF,CentralAfricanRepublic,5.4,155.0
NER,Niger,0.401,189.0,NER,Niger,5.97,135.0
TCD,Chad,0.397,190.0,TCD,Chad,5.55,152.0
